time,games,steps,buffer,policy_loss,value_loss,games_per_min
1782407161,1783655,268874,500000,1.6900,0.4265,11.59
1782407303,1783687,268887,500000,1.6754,0.4297,13.58
1782407466,1783719,268899,500000,1.7072,0.4318,11.86
1782407609,1783752,268909,500000,1.6835,0.4329,13.94
1782407771,1783784,268922,500000,1.6961,0.4112,11.96
1782407937,1783816,268932,500000,1.6715,0.4114,11.60
1782408083,1783848,268943,500000,1.7186,0.4241,13.24
1782408233,1783881,268956,500000,1.7124,0.4058,13.26
1782408391,1783914,268968,500000,1.7113,0.4167,12.59
1782408535,1783946,268980,500000,1.6867,0.4251,13.49
1782408703,1783978,268992,500000,1.6883,0.4005,11.45
1782408857,1784010,269003,500000,1.7521,0.3988,12.52
1782409054,1784042,269015,500000,1.7126,0.3938,9.79
1782409194,1784074,269028,500000,1.7309,0.3749,13.83
1782409350,1784106,269040,500000,1.7196,0.3954,12.36
1782409507,1784139,269053,500000,1.7142,0.3862,12.69
1782409673,1784171,269065,500000,1.7131,0.3951,11.64
1782409811,1784203,269076,500000,1.7373,0.3749,14.00
1782409989,1784236,269087,500000,1.7256,0.3842,11.22
1782410149,1784268,269100,500000,1.7331,0.3956,12.03
1782410279,1784300,269111,500000,1.7311,0.3715,14.91
1782410436,1784332,269121,500000,1.7362,0.3928,12.27
1782410611,1784364,269134,500000,1.7296,0.3790,11.02
1782410763,1784396,269145,500000,1.7403,0.3724,12.71
1782410918,1784430,269157,500000,1.7596,0.3843,13.23
1782411091,1784463,269169,500000,1.7329,0.3836,11.55
1782411236,1784495,269181,500000,1.7605,0.3809,13.25
1782411396,1784528,269193,500000,1.7435,0.3637,12.44
1782411547,1784560,269204,500000,1.7746,0.3655,12.87
1782411696,1784592,269216,500000,1.7667,0.3627,12.90
1782411869,1784624,269229,500000,1.7586,0.3551,11.21
1782412040,1784657,269241,500000,1.7636,0.3625,11.61
1782412146,1784689,269252,500000,1.7636,0.3773,18.28
1782412334,1784721,269263,500000,1.7572,0.3661,10.28
1782412474,1784753,269275,500000,1.7707,0.3517,13.76
1782412638,1784785,269286,500000,1.7652,0.3500,11.79
1782412803,1784817,269298,500000,1.7670,0.3457,11.69
1782412936,1784849,269310,500000,1.7690,0.3342,14.52
1782413090,1784881,269322,500000,1.7465,0.3469,12.52
1782413265,1784913,269333,500000,1.7513,0.3364,11.03
1782413436,1784945,269345,500000,1.7815,0.3355,11.34
1782413569,1784977,269358,500000,1.7802,0.3468,14.51
1782413776,1785009,269370,500000,1.7740,0.3368,9.30
1782413903,1785041,269383,500000,1.7872,0.3452,15.27
1782414076,1785074,269394,500000,1.7660,0.3456,11.52
1782414203,1785106,269405,500000,1.7947,0.3426,15.20
1782414353,1785138,269416,500000,1.7880,0.3409,12.84
1782414506,1785171,269428,500000,1.7907,0.3270,13.04
1782414650,1785203,269439,500000,1.8146,0.3326,13.38
1782414813,1785235,269450,500000,1.7777,0.3266,11.90
1782414942,1785267,269462,500000,1.7966,0.3217,14.99
1782415103,1785299,269472,500000,1.7944,0.3198,11.98
1782415306,1785331,269482,500000,1.8180,0.3210,9.50
1782415447,1785363,269496,500000,1.8253,0.3219,13.66
1782415588,1785395,269508,500000,1.8120,0.3126,13.73
1782415755,1785428,269520,500000,1.8037,0.3161,11.92
1782415909,1785461,269531,500000,1.8190,0.3160,12.96
1782416052,1785493,269543,500000,1.8160,0.3119,13.53
1782416231,1785525,269554,500000,1.8179,0.3112,10.74
1782416380,1785558,269567,500000,1.8253,0.2992,13.38
1782416514,1785590,269579,500000,1.8116,0.3139,14.43
1782416715,1785623,269591,500000,1.8156,0.3028,9.92
1782416833,1785655,269602,500000,1.8306,0.3026,16.31
1782417048,1785687,269613,500000,1.8322,0.3149,9.00
1782417160,1785719,269626,500000,1.8319,0.3012,17.32
1782417309,1785751,269638,500000,1.8362,0.3029,12.94
1782417460,1785783,269649,500000,1.8337,0.3056,12.81
1782417617,1785815,269660,500000,1.8143,0.2952,12.24
1782417761,1785848,269673,500000,1.8337,0.2858,13.90
1782417908,1785880,269684,500000,1.8420,0.2925,13.14
1782418069,1785913,269694,500000,1.8341,0.2848,12.32
1782418199,1785945,269706,500000,1.8605,0.2980,14.93
1782418369,1785977,269718,500000,1.8372,0.2864,11.33
1782418554,1786009,269730,500000,1.8361,0.2829,10.44
1782418737,1786042,269744,500000,1.8489,0.2836,10.89
1782418861,1786074,269756,500000,1.8283,0.2986,15.53
1782419031,1786106,269766,500000,1.8594,0.3024,11.40
1782419177,1786139,269778,500000,1.8357,0.2899,13.62
1782419352,1786171,269790,500000,1.8553,0.2919,11.05
1782419512,1786203,269801,500000,1.8428,0.2925,12.07
1782419672,1786235,269814,500000,1.8335,0.2933,12.07
1782419839,1786267,269826,500000,1.8394,0.2898,11.50
1782420002,1786299,269839,500000,1.8284,0.2982,11.91
1782420155,1786331,269851,500000,1.8362,0.2856,12.58
1782420336,1786363,269864,500000,1.8457,0.2837,10.65
1782420497,1786397,269877,500000,1.8337,0.2800,12.75
1782420695,1786431,269890,500000,1.8300,0.2870,10.37
